Title,VOD Service,Rating
Nimona,Netflix,"7,36"
Fenomen,Netflix,"7,28"
Zaopiekujcie się Mayą,Netflix,"7,07"
Bill Russell: Legenda NBA,Netflix,"7,05"
Wham!,Netflix,"7,04"
Jesteśmy idealni,Netflix,"6,82"
Głodni,Netflix,"6,63"
Magiczna słonica,Netflix,"6,62"
Siła ducha,Netflix,"6,59"
Black Clover: Mahō Tei no Ken,Netflix,"6,50"
"Na planie serialu ""The Last of Us""",HBO Max,"6,70"
Martwe zło: Przebudzenie,HBO Max,"6,00"
Mumie,HBO Max,"5,87"
Shazam! Gniew bogów,HBO Max,"5,54"
Magic Mike: Ostatni taniec,HBO Max,"4,92"
Domówka,HBO Max,"4,26"
Przerwany lot,Canal Plus,"6,05"
Klub zabójców,Canal Plus,"5,06"
Zabójca,Canal Plus,"4,03"
Stan Lee,Disney Plus,"6,76"
Ślicznotka: Historia Brooke Shields,Disney Plus,"6,69"
Ulica Rye Lane,Disney Plus,"6,22"
Dusiciel z Bostonu,Disney Plus,"6,22"
Flamin' Hot: Smak sukcesu,Disney Plus,"6,17"
Misja: Bal,Disney Plus,"6,00"
Najlepszy rzut Changa,Disney Plus,"5,66"
Ant-Man i Osa: Kwantomania,Disney Plus,"5,56"
Biali nie potrafią skakać,Disney Plus,"5,37"
Quasi,Disney Plus,"4,90"